0,1,2,3,4,5,6,7,8
-42.0,-61.0,-61.0,-72.0,-85.0,-72.0,4.3,2.45,2.0
-42.0,-62.0,-57.0,-71.0,-82.0,-71.0,4.3,2.45,2.0
-48.0,-58.0,-56.0,-72.0,-83.0,-71.0,4.3,2.45,2.0
-48.0,-62.0,-63.0,-72.0,-84.0,-74.0,4.3,2.45,2.0
-50.0,-62.0,-61.0,-74.0,-84.0,-72.0,4.3,2.45,2.0
-50.0,-63.0,-61.0,-73.0,-84.0,-76.0,4.3,2.45,2.0
-50.0,-61.0,-60.0,-73.0,-85.0,-73.0,4.3,2.45,2.0
-50.0,-61.0,-61.0,-72.0,-84.0,-76.0,4.3,2.45,2.0
-49.0,-63.0,-59.0,-72.0,-84.0,-74.0,4.3,2.45,2.0
-49.0,-62.0,-57.0,-72.0,-83.0,-73.0,4.3,2.45,2.0
-43.0,-63.0,-60.0,-72.0,-84.0,-73.0,4.3,2.45,2.0
-48.0,-61.0,-62.0,-74.0,-85.0,-74.0,4.3,2.45,2.0
-51.0,-62.0,-60.0,-73.0,-83.0,-76.0,4.3,2.45,2.0
-49.0,-61.0,-59.0,-70.0,-81.0,-73.0,4.3,2.45,2.0
-47.0,-60.0,-60.0,-72.0,-83.0,-71.0,4.3,2.45,2.0
-49.0,-62.0,-57.0,-70.0,-83.0,-75.0,4.3,2.45,2.0
-42.0,-60.0,-57.0,-65.0,-83.0,-75.0,4.3,2.45,2.0
-42.0,-61.0,-57.0,-73.0,-85.0,-72.0,4.3,2.45,2.0
-43.0,-55.0,-66.0,-73.0,-80.0,-67.0,5.4,2.45,2.0
-43.0,-56.0,-64.0,-74.0,-78.0,-68.0,5.4,2.45,2.0
-44.0,-61.0,-70.0,-77.0,-82.0,-71.0,5.4,2.45,2.0
-49.0,-55.0,-62.0,-75.0,-82.0,-68.0,5.4,2.45,2.0
-42.0,-53.0,-66.0,-73.0,-78.0,-69.0,5.4,2.45,2.0
-41.0,-55.0,-62.0,-74.0,-80.0,-64.0,5.4,2.45,2.0
-51.0,-57.0,-68.0,-76.0,-83.0,-70.0,5.4,2.45,2.0
-44.0,-57.0,-68.0,-77.0,-81.0,-71.0,5.4,2.45,2.0
-41.0,-55.0,-65.0,-74.0,-77.0,-68.0,5.4,2.45,2.0
-41.0,-54.0,-64.0,-73.0,-78.0,-69.0,5.4,2.45,2.0
-40.0,-55.0,-61.0,-70.0,-93.0,-66.0,5.4,2.45,2.0
-41.0,-53.0,-65.0,-73.0,-77.0,-68.0,5.4,2.45,2.0
-42.0,-54.0,-65.0,-74.0,-77.0,-68.0,5.4,2.45,2.0
-48.0,-55.0,-63.0,-74.0,-78.0,-68.0,5.4,2.45,2.0
-42.0,-54.0,-62.0,-73.0,-78.0,-68.0,5.4,2.45,2.0
-43.0,-57.0,-65.0,-74.0,-78.0,-70.0,5.4,2.45,2.0
-42.0,-57.0,-66.0,-74.0,-79.0,-66.0,5.4,2.45,2.0
-42.0,-54.0,-65.0,-74.0,-79.0,-68.0,5.4,2.45,2.0
-44.0,-56.0,-67.0,-76.0,-81.0,-69.0,5.4,2.45,2.0
-45.0,-57.0,-69.0,-77.0,-82.0,-69.0,5.4,2.45,2.0
-48.0,-54.0,-66.0,-74.0,-83.0,-67.0,5.4,2.45,2.0
-44.0,-56.0,-65.0,-76.0,-82.0,-70.0,5.4,2.45,2.0
-48.0,-55.0,-66.0,-72.0,-76.0,-68.0,5.4,2.45,2.0
-49.0,-56.0,-69.0,-76.0,-76.0,-67.0,5.4,2.45,2.0
-41.0,-55.0,-61.0,-77.0,-78.0,-66.0,5.4,2.45,2.0
-50.0,-55.0,-64.0,-74.0,-80.0,-69.0,5.4,2.45,2.0
-43.0,-58.0,-67.0,-74.0,-79.0,-69.0,5.4,2.45,2.0
-55.0,-57.0,-54.0,-73.0,-70.0,-78.0,6.5,2.45,2.0
-54.0,-57.0,-54.0,-76.0,-71.0,-78.0,6.5,2.45,2.0
-56.0,-56.0,-55.0,-73.0,-71.0,-77.0,6.5,2.45,2.0
-56.0,-57.0,-52.0,-75.0,-73.0,-76.0,6.5,2.45,2.0
-57.0,-59.0,-55.0,-77.0,-74.0,-81.0,6.5,2.45,2.0
-54.0,-57.0,-58.0,-73.0,-70.0,-74.0,6.5,2.45,2.0
